,,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,TEAM_PTS,this
,,PTS,PTS,PTS,PTS,PTS,PTS,AST,AST,AST,AST,AST,AST,REB,REB,REB,REB,REB,REB,PTS,PTS,PTS,PTS,PTS,PTS,AST,AST,AST,AST,AST,AST,REB,REB,REB,REB,REB,REB,,
,,C1,F1,F2,G1,G2,S1,C1,F1,F2,G1,G2,S1,C1,F1,F2,G1,G2,S1,C1,F1,F2,G1,G2,S1,C1,F1,F2,G1,G2,S1,C1,F1,F2,G1,G2,S1,,HOME
GAME_ID,TEAM_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21500066.0,1610612761.0,25.174115324968277,17.80102222750505,18.11971957576847,27.21531100478469,29.233215115568058,11.363188005523773,0.8120682362892993,2.7386188042315465,1.5531188207801547,11.023923444976077,6.339733398556928,6.249753403038074,16.647398843930635,7.18887436110781,18.637425849361854,6.889952153110048,5.987525987525988,2.840797001380943,9.941942570218107,37.88635861154101,17.540921202893035,40.915815427967594,11.672354948805461,13.550815558343789,1.8076259218578377,2.2286093300906478,2.558051008755234,12.511447692849593,1.8430034129692834,4.065244667503136,9.490036089753648,7.640946274596507,13.886562618956987,10.144417048256427,7.986348122866894,7.227101631116687,103.0,0.0
21500067.0,1610612756.0,15.942549371633753,23.369928400954656,8.484625299208249,24.232791866308283,29.94800693240901,21.60145955807825,1.7235188509874326,2.2911694510739857,1.5908672436015467,6.731331073974523,7.130477841049764,1.1676464625988243,20.251346499102333,11.914081145584726,7.424047136807218,7.404464181371976,4.634810596682347,9.341171700790595,18.215038650737878,28.246520874751493,24.033379694019473,24.0100041684035,22.455282066962237,15.943633618520382,1.0119465917076598,4.198807157057654,0.0,6.402667778240933,10.567191560923407,1.4494212380473075,13.661278988053407,9.924453280318092,4.0055632823365785,2.40100041684035,9.246292615807981,14.494212380473074,118.0,0.0
21500067.0,1610612758.0,18.215038650737878,28.246520874751493,24.033379694019473,24.0100041684035,22.455282066962237,15.943633618520382,1.0119465917076598,4.198807157057654,0.0,6.402667778240933,10.567191560923407,1.4494212380473075,13.661278988053407,9.924453280318092,4.0055632823365785,2.40100041684035,9.246292615807981,14.494212380473074,15.942549371633753,23.369928400954656,8.484625299208249,24.232791866308283,29.94800693240901,21.60145955807825,1.7235188509874326,2.2911694510739857,1.5908672436015467,6.731331073974523,7.130477841049764,1.1676464625988243,20.251346499102333,11.914081145584726,7.424047136807218,7.404464181371976,4.634810596682347,9.341171700790595,97.0,0.0
21500069.0,1610612744.0,21.135333477228578,19.615384615384613,16.781712236665175,55.91499409681228,24.39897698209719,12.9024,1.8648823656378157,8.076923076923077,4.7333034513671,9.445100354191263,2.762148337595908,6.4512,16.162313835527737,11.538461538461538,10.327207530255492,7.55608028335301,7.82608695652174,9.6768,14.334301119867277,41.88832737581659,12.779346510689795,22.48847926267281,25.014475969889983,16.40636126275813,1.5927001244296974,4.969801553062985,5.8087938684953615,11.797235023041475,2.501447596988998,2.050795157844766,21.501451679800915,13.134475533095033,6.970552642194433,6.267281105990784,1.6676317313259987,2.7343935437930216,112.0,0.0
21500069.0,1610612746.0,14.334301119867277,41.88832737581659,12.779346510689795,22.48847926267281,25.014475969889983,16.40636126275813,1.5927001244296974,4.969801553062985,5.8087938684953615,11.797235023041475,2.501447596988998,2.050795157844766,21.501451679800915,13.134475533095033,6.970552642194433,6.267281105990784,1.6676317313259987,2.7343935437930216,21.135333477228578,19.615384615384613,16.781712236665175,55.91499409681228,24.39897698209719,12.9024,1.8648823656378157,8.076923076923077,4.7333034513671,9.445100354191263,2.762148337595908,6.4512,16.162313835527737,11.538461538461538,10.327207530255492,7.55608028335301,7.82608695652174,9.6768,108.0,0.0
21500070.0,1610612760.0,11.564813652905006,37.18758291323958,16.95321221962854,38.717683557394004,10.98537825810553,13.640552995391706,1.8070021332664072,2.8018041920933934,2.04607733685172,14.349910689104071,1.3731722822631913,3.686635944700461,10.11921194629188,7.895993632263199,12.8610575459251,9.476356115446086,6.408137317228226,8.110599078341014,21.434140578854105,26.355525051475635,24.723110587443195,28.04756999719075,16.04544461437623,5.123643479807863,3.4022445363260485,1.3177762525737817,2.908601245581552,3.775634422698755,8.494647148787415,7.173100871731009,13.268753691671588,10.542210020590254,5.817202491163104,6.742204326247776,4.404631854926808,16.395659135385163,98.0,0.0
21500070.0,1610612741.0,21.434140578854105,26.355525051475635,24.723110587443195,28.04756999719075,16.04544461437623,5.123643479807863,3.4022445363260485,1.3177762525737817,2.908601245581552,3.775634422698755,8.494647148787415,7.173100871731009,13.268753691671588,10.542210020590254,5.817202491163104,6.742204326247776,4.404631854926808,16.395659135385163,11.564813652905006,37.18758291323958,16.95321221962854,38.717683557394004,10.98537825810553,13.640552995391706,1.8070021332664072,2.8018041920933934,2.04607733685172,14.349910689104071,1.3731722822631913,3.686635944700461,10.11921194629188,7.895993632263199,12.8610575459251,9.476356115446086,6.408137317228226,8.110599078341014,104.0,0.0
21500072.0,1610612742.0,16.195831955011577,30.315789473684212,16.210131332082554,17.68818897637795,19.862068965517242,21.52136424602414,2.3817399933840555,3.4646616541353383,3.00187617260788,5.44251968503937,10.482758620689655,3.310979114772945,17.62487595104201,13.858646616541353,4.803001876172608,4.081889763779527,5.517241379310345,17.65855527878904,23.92572080143346,15.334685598377282,14.129692832764505,20.9548123563952,23.504014742661578,32.839224629418474,2.3456589021013197,3.6511156186612577,1.8430034129692834,6.617309165177431,7.961037251546663,4.9258836944127715,13.604821632187653,13.509127789046653,6.143344709897611,11.028848608629051,6.065552191654601,8.209806157354619,94.0,0.0
21500072.0,1610612766.0,23.92572080143346,15.334685598377282,14.129692832764505,20.9548123563952,23.504014742661578,32.839224629418474,2.3456589021013197,3.6511156186612577,1.8430034129692834,6.617309165177431,7.961037251546663,4.9258836944127715,13.604821632187653,13.509127789046653,6.143344709897611,11.028848608629051,6.065552191654601,8.209806157354619,16.195831955011577,30.315789473684212,16.210131332082554,17.68818897637795,19.862068965517242,21.52136424602414,2.3817399933840555,3.4646616541353383,3.00187617260788,5.44251968503937,10.482758620689655,3.310979114772945,17.62487595104201,13.858646616541353,4.803001876172608,4.081889763779527,5.517241379310345,17.65855527878904,108.0,0.0
21500073.0,1610612743.0,31.30434782608696,25.31142529614062,27.0846394984326,19.55458989679522,13.532892446919597,25.27202527202527,3.4782608695652177,2.5678257546809324,1.7196596506941333,10.168386746333514,4.009745910198399,1.5163215163215162,13.913043478260871,8.070309514711502,17.626511419614868,5.084193373166757,6.515837104072398,7.581607581607582,11.419800460475827,19.894498869630745,28.054550514890064,25.871029836381137,12.265260596227945,28.96291640477687,1.8419033000767462,2.8937452901281087,2.0038964653492903,5.543792107795958,4.672480227134455,1.3576367064739159,18.050652340752112,4.702336096458176,14.027275257445032,5.0818094321462945,3.5043601703508416,8.145820238843495,84.0,0.0
